RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	A1-1.raw	A	1	59436	43565	40692	4988	5062
2	A1-2.raw	A	2	61121	44638	41827	5061	5135
3	A1-3.raw	A	3	60604	44275	41490	4979	5052
4	A2-1.raw	A	4	56006	40976	38306	4842	4911
5	A2-2.raw	A	5	60990	44405	41819	4957	5034
6	A2-3.raw	A	6	56645	41617	38918	4813	4886
7	A3-1.raw	A	7	51941	38067	35728	4624	4690
8	A3-2.raw	A	8	63296	46034	43410	5038	5112
9	A3-3.raw	A	9	58545	42695	40049	4885	4958
10	A4-1.raw	A	10	54037	39350	36818	4666	4735
11	A4-2.raw	A	11	54263	39639	37236	4768	4841
12	A4-3.raw	A	12	64233	46463	43539	5002	5075
13	A5-1.raw	A	13	23916	16901	15863	3179	3209
14	A5-2.raw	A	14	30014	21138	19936	3624	3657
15	A5-3.raw	A	15	59096	42815	40278	4937	5011
16	A6-1.raw	A	16	57170	41755	39225	4843	4918
17	A6-2.raw	A	17	65684	47597	44444	5071	5145
18	A6-3.raw	A	18	44177	32634	30981	4477	4543
19	B1-1.raw	B	1	53603	39741	37247	4852	4925
20	B1-2.raw	B	2	63921	46102	43263	5135	5215
21	B1-3.raw	B	3	56636	41202	38531	4913	4988
22	B2-1.raw	B	4	38917	29870	28443	4365	4425
23	B2-2.raw	B	5	64620	46922	43942	5096	5168
24	B2-3.raw	B	6	57369	41807	39083	4863	4936
25	B3-1.raw	B	7	50738	37038	34831	4515	4577
26	B3-2.raw	B	8	59850	43781	41299	5108	5182
27	B3-3.raw	B	9	58447	42334	39927	4891	4961
28	B4-1.raw	B	10	55817	40354	38140	4839	4906
29	B4-2.raw	B	11	63300	45920	43086	5102	5173
30	B4-3.raw	B	12	63873	46142	43172	5120	5191
31	B5-1.raw	B	13	34229	25992	25155	3954	4015
32	B5-2.raw	B	14	53140	39131	36727	4840	4916
33	B5-3.raw	B	15	51143	37377	35233	4654	4722
34	B6-1.raw	B	16	44943	33325	31322	4706	4774
35	B6-2.raw	B	17	54635	40491	37991	4906	4971
36	B6-3.raw	B	18	34969	26218	24669	4334	4396
37	B7-1.raw	B	19	50573	36946	34575	4575	4639
38	B7-2.raw	B	20	59598	43596	41063	5036	5109
39	B7-3.raw	B	21	54427	39765	37188	4782	4858
40	B8-1.raw	B	22	51162	37432	35381	4667	4733
41	B8-2.raw	B	23	42446	31316	29561	4487	4554
42	B8-3.raw	B	24	51175	37603	35366	4749	4818
43	B9-1.raw	B	25	52283	38279	36101	4708	4774
44	B9-2.raw	B	26	26609	18267	17215	3466	3501
45	B9-3.raw	B	27	51505	38075	35821	4727	4797
46	B10-1.raw	B	28	49965	36540	34487	4622	4689
47	B10-2.raw	B	29	57362	42092	39792	5016	5087
48	B10-3.raw	B	30	52565	38620	36516	4849	4926
49	B11-1.raw	B	31	54710	40022	37649	4870	4935
50	B11-2.raw	B	32	62123	45288	42728	5058	5127
51	B11-3.raw	B	33	52105	38159	36046	4770	4839
52	B12-1.raw	B	34	55735	40891	38322	4944	5017
53	B12-2.raw	B	35	63288	45932	43431	5142	5215
54	B12-3.raw	B	36	56973	41360	38955	4867	4936
55	B13-1.raw	B	37	63323	46230	43486	5173	5250
56	B13-2.raw	B	38	55539	40582	38199	4881	4952
57	B14-1.raw	B	39	55554	41306	38821	4968	5040
58	B14-2.raw	B	40	62910	45569	42899	5113	5192
59	B14-3.raw	B	41	57026	41666	39237	4903	4979
60	B15-1.raw	B	42	55043	40250	38060	4918	4991
61	B15-2.raw	B	43	59681	43734	41068	5051	5121
62	B15-3.raw	B	44	46414	34654	32679	4611	4678
63	B16-1.raw	B	45	51623	37957	35861	4798	4867
64	B16-2.raw	B	46	24847	17275	16335	3335	3363
65	B16-3.raw	B	47	54869	40450	38030	4921	4994
66	B17-1.raw	B	48	56880	41397	39192	4899	4971
67	B17-2.raw	B	49	61675	44969	42439	5103	5173
68	B17-3.raw	B	50	26583	18378	17342	3506	3543
69	B18-1.raw	B	51	59482	43376	40953	5012	5083
70	B18-2.raw	B	52	54569	40163	37952	4936	5004
71	B18-3.raw	B	53	55403	40366	38187	4884	4957
72	B19-1.raw	B	54	51115	37615	35793	4746	4814
73	B19-2.raw	B	55	59457	43795	41233	5060	5136
74	B19-3.raw	B	56	54507	40394	38067	4901	4974
75	B20-1.raw	B	57	55624	40900	38488	4908	4977
76	B20-2.raw	B	58	55796	40862	38734	4950	5020
77	B20-3.raw	B	59	53386	39465	37235	4841	4916
78	B21-1.raw	B	60	52542	38621	36698	4789	4861
79	B21-2.raw	B	61	41578	31087	29395	4665	4725
80	B21-3.raw	B	62	55660	40507	38467	4870	4939
81	B22-1.raw	B	63	62485	45536	43046	5133	5207
82	B22-2.raw	B	64	56878	41698	39593	4974	5040
83	B22-3.raw	B	65	40342	30123	28523	4604	4666
84	B23-1.raw	B	66	53512	39435	36952	4858	4922
85	B23-2.raw	B	67	52527	39244	37111	4878	4945
86	B23-3.raw	B	68	50088	36927	35185	4727	4796
87	C1-1.raw	C	1	49479	36648	34962	4777	4847
88	C1-2.raw	C	2	42571	31150	29649	4502	4568
89	C1-3.raw	C	3	51525	38317	36422	4760	4835
90	C2-1.raw	C	4	55310	40781	38629	4850	4922
91	C2-2.raw	C	5	60901	44695	42211	5120	5197
92	C2-3.raw	C	6	59540	43441	40975	5047	5121
93	C3-1.raw	C	7	54579	39626	37735	4849	4926
94	C3-2.raw	C	8	63120	46102	43633	5144	5218
95	C3-3.raw	C	9	53351	39238	37343	4845	4916
96	C4-1.raw	C	10	59094	43020	40806	5003	5074
97	C4-2.raw	C	11	58737	43338	40945	5048	5121
98	C4-3.raw	C	12	55110	40382	38492	4903	4977
99	C5-1.raw	C	13	59506	43383	41038	5020	5095
100	C5-2.raw	C	14	55536	40579	38506	4854	4923
101	C6-1.raw	C	15	57308	42053	39917	5012	5088
102	C6-2.raw	C	16	64175	46438	43906	5118	5192
103	C6-3.raw	C	17	56002	40948	38901	4860	4932
104	C7-1.raw	C	18	53456	39397	37600	4835	4910
105	C7-2.raw	C	19	56823	41353	39319	4924	4992
106	C7-3.raw	C	20	49603	36735	34990	4670	4739
107	C8-1.raw	C	21	59797	43785	41418	5041	5117
108	C8-2.raw	C	22	57260	42619	40486	4984	5053
109	C8-3.raw	C	23	60042	44206	41910	5002	5072
110	D1-1.raw	D	1	35643	26944	25616	4489	4551
111	D1-2.raw	D	2	48871	34871	33457	4697	4760
112	D1-3.raw	D	3	50225	35771	33916	4609	4675
113	D2-1.raw	D	4	55227	40284	38063	4852	4924
114	D2-2.raw	D	5	50514	37347	35336	4874	4944
115	D2-3.raw	D	6	53877	39470	37482	4732	4801
116	D3-1.raw	D	7	40892	30185	28639	4430	4493
117	D3-2.raw	D	8	37827	28599	27163	4554	4612
118	D3-3.raw	D	9	38920	28854	27241	4369	4428
119	QC-01.raw	Q	1	60381	44347	41903	5024	5097
120	QC-02.raw	Q	2	59205	43667	41308	4994	5069
121	QC-03.raw	Q	3	58258	42828	40424	5034	5107
122	QC-04.raw	Q	4	49786	37073	35101	4688	4756
123	QC-05.raw	Q	5	58299	42652	40278	4967	5038
124	QC-06.raw	Q	6	59560	43703	41260	5052	5127
125	QC-07.raw	Q	7	58429	42916	40561	5020	5094
126	QC-08.raw	Q	8	49059	36832	34919	4751	4814
127	QC-09.raw	Q	9	59346	43535	41073	5037	5117
128	QC-20.raw	Q	10	58736	43358	40904	5001	5076
129	QC-23.raw	Q	11	51184	37059	35166	4699	4767
130	QC-24.raw	Q	12	49190	35605	33806	4684	4753
